TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
4.53E+04,1.58,1.58,-0.94,-0.94,,9.06E+05,0.00109375
4.55E+04,1.62,1.62,-0.94,-0.94,,9.09E+05,0.00140625
4.56E+04,1.62,1.58,-0.94,-0.94,,9.13E+05,0.00171875
4.58E+04,1.62,1.62,-0.94,-0.94,,9.16E+05,0.00140625
4.59E+04,1.58,1.58,-0.98,-0.98,,9.19E+05,0.00109375
4.61E+04,1.58,1.62,-0.98,-0.94,,9.22E+05,0.00109375
4.63E+04,1.58,1.58,-0.98,-0.98,,9.25E+05,0.00109375
4.64E+04,1.58,1.58,-0.98,-0.94,,9.28E+05,0.00109375
4.66E+04,1.58,1.58,-0.94,-0.94,,9.31E+05,0.00109375
4.67E+04,1.58,1.58,-0.94,-0.94,,9.34E+05,0.00109375
4.69E+04,1.58,1.58,-0.98,-0.98,,9.38E+05,0.00109375
4.70E+04,1.58,1.58,-0.98,-0.94,,9.41E+05,0.00109375
4.72E+04,1.58,1.58,-0.98,-0.98,,9.44E+05,0.00109375
4.73E+04,1.58,1.58,-0.98,-0.94,,9.47E+05,0.00078125
4.75E+04,1.58,1.58,-0.98,-0.98,,9.50E+05,0.000546875
4.77E+04,1.58,1.62,-0.98,-0.94,,9.53E+05,0.00078125
4.78E+04,1.58,1.58,-0.98,-0.98,,9.56E+05,0.00109375
4.80E+04,1.58,1.62,-0.98,-0.94,,9.59E+05,0.00109375
4.81E+04,1.58,1.58,-0.98,-0.98,,9.63E+05,0.00109375
4.83E+04,1.58,1.58,-0.98,-0.94,,9.66E+05,0.00109375
4.84E+04,1.58,1.58,-0.98,-0.98,,9.69E+05,0.00109375
4.86E+04,1.58,1.58,-0.98,-0.94,,9.72E+05,0.00109375
4.88E+04,1.58,1.58,-0.98,-0.98,,9.75E+05,0.00109375
4.89E+04,1.62,1.62,-0.98,-0.94,,9.78E+05,0.00109375
4.91E+04,1.58,1.58,-0.98,-0.98,,9.81E+05,0.00109375
4.92E+04,1.58,1.62,-0.98,-0.94,,9.84E+05,0.00109375
4.94E+04,1.58,1.58,-0.98,-0.98,,9.88E+05,0.00109375
4.95E+04,1.58,1.62,-0.98,-0.94,,9.91E+05,0.00140625
4.97E+04,1.58,1.58,-0.98,-0.98,,9.94E+05,0.00171875
4.98E+04,1.58,1.62,-0.94,-0.94,,9.97E+05,0.00140625
5.00E+04,1.58,1.58,-0.94,-0.94,,1.00E+06,0.00109375
5.02E+04,1.58,1.58,-0.94,-0.94,,1.00E+06,0.00140625
5.03E+04,1.58,1.58,-0.94,-0.94,,1.01E+06,0.00171875
5.05E+04,1.58,1.62,-0.94,-0.94,,1.01E+06,0.00140625
5.06E+04,1.58,1.58,-0.98,-0.98,,1.01E+06,0.00109375
5.08E+04,1.58,1.58,-0.98,-0.94,,1.02E+06,0.00078125
5.09E+04,1.58,1.58,-0.94,-0.94,,1.02E+06,0.000546875
5.11E+04,1.58,1.58,-0.94,-0.94,,1.02E+06,0.00109375
5.13E+04,1.58,1.58,-0.98,-0.98,,1.03E+06,0.00171875
5.14E+04,1.58,1.58,-0.98,-0.94,,1.03E+06,0.00140625
5.16E+04,1.58,1.58,-0.98,-0.98,,1.03E+06,0.00109375
5.17E+04,1.58,1.58,-0.98,-0.94,,1.03E+06,0.00140625
5.19E+04,1.58,1.58,-0.98,-0.98,,1.04E+06,0.00171875
5.20E+04,1.58,1.58,-0.98,-0.94,,1.04E+06,0.00140625
5.22E+04,1.58,1.58,-0.98,-0.98,,1.04E+06,0.00109375
5.23E+04,1.58,1.58,-0.98,-0.94,,1.05E+06,0.00109375
5.25E+04,1.58,1.58,-0.98,-0.98,,1.05E+06,0.00109375
5.27E+04,1.58,1.58,-0.98,-0.94,,1.05E+06,0.00140625
5.28E+04,1.58,1.54,-0.94,-0.94,,1.06E+06,0.00171875
5.30E+04,1.58,1.58,-0.94,-0.94,,1.06E+06,0.00140625
5.31E+04,1.58,1.58,-0.98,-0.98,,1.06E+06,0.00109375
5.33E+04,1.58,1.58,-0.98,-0.94,,1.07E+06,0.00140625
5.34E+04,1.58,1.58,-0.98,-0.98,,1.07E+06,0.00171875
5.36E+04,1.58,1.58,-0.94,-0.94,,1.07E+06,0.00140625
5.38E+04,1.58,1.58,-0.98,-0.98,,1.08E+06,0.00109375
5.39E+04,1.58,1.58,-0.98,-0.94,,1.08E+06,0.00109375
5.41E+04,1.58,1.58,-0.98,-0.98,,1.08E+06,0.00109375
5.42E+04,1.58,1.58,-0.98,-0.94,,1.08E+06,0.00109375
5.44E+04,1.58,1.54,-0.94,-0.94,,1.09E+06,0.00109375
5.45E+04,1.58,1.58,-0.94,-0.94,,1.09E+06,0.00109375
5.47E+04,1.58,1.58,-0.94,-0.94,,1.09E+06,0.00109375
5.48E+04,1.58,1.58,-0.94,-0.94,,1.10E+06,0.00109375
